Mode: 6 | Motors:   0   0   0   0 | Angles:     -2     52     53 | Rates:  -1572   1508  14764 | Bat: 65476 | Temp: 2558 | Pressure: 102099 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -286    -82   -117 | Rates:  -1288    852  14660 | Bat: 65476 | Temp: 2558 | Pressure: 102099 
Mode: 6 | Motors:   0   0   0   0 | Angles:    -89     33    123 | Rates:  -1340    704  14724 | Bat: 65476 | Temp: 2558 | Pressure: 102101 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -385    -46    508 | Rates:  -1356    456  14792 | Bat: 65476 | Temp: 2558 | Pressure: 102099 
Mode: 6 | Motors:   0   0   0   0 | Angles:      7    131    903 | Rates:  -1416    204  14880 | Bat: 65476 | Temp: 2558 | Pressure: 102097 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -342   -108    527 | Rates:  -1300    480  14544 | Bat: 65476 | Temp: 2558 | Pressure: 102100 
Mode: 6 | Motors:   0   0   0   0 | Angles:     25     21   -281 | Rates:   -368   -700  14812 | Bat: 65476 | Temp: 2558 | Pressure: 102100 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -176    -20   -752 | Rates:   -988   -476  14904 | Bat: 65476 | Temp: 2558 | Pressure: 102098 
Mode: 6 | Motors:   0   0   0   0 | Angles:    -52     85   -568 | Rates:   -700   -888  14812 | Bat: 65476 | Temp: 2558 | Pressure: 102100 
Mode: 6 | Motors:   0   0   0   0 | Angles:    -21   -190   -779 | Rates:  -1076    692  14768 | Bat: 65476 | Temp: 2558 | Pressure: 102103 
Mode: 6 | Motors:   0   0   0   0 | Angles:    116    134   -111 | Rates:     96   -212  14736 | Bat: 65476 | Temp: 2558 | Pressure: 102100 
Mode: 6 | Motors:   0   0   0   0 | Angles:     41    -68   -833 | Rates:   -892    584  15036 | Bat: 65476 | Temp: 2558 | Pressure: 102101 
Mode: 6 | Motors:   0   0   0   0 | Angles:     46     14   -789 | Rates:    -20   1156  14720 | Bat: 65476 | Temp: 2558 | Pressure: 102100 
Mode: 6 | Motors:   0   0   0   0 | Angles:     17    240   -572 | Rates:  -1944   2144  14640 | Bat: 65476 | Temp: 2558 | Pressure: 102098 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -112   -162    593 | Rates:  -1828   1888  14504 | Bat: 65476 | Temp: 2558 | Pressure: 102098 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -216     16   1029 | Rates:  -1592   1504  14400 | Bat: 65476 | Temp: 2558 | Pressure: 102101 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -145     28   1021 | Rates:   -364   1424  14356 | Bat: 65476 | Temp: 2558 | Pressure: 102099 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -177    127    452 | Rates:  -1016   1344  15004 | Bat: 65476 | Temp: 2558 | Pressure: 102100 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -196    431   -129 | Rates:   -828    872  14612 | Bat: 65476 | Temp: 2558 | Pressure: 102102 
Mode: 6 | Motors:   0   0   0   0 | Angles:     77   1087   -134 | Rates:  -5888    208  13888 | Bat: 65476 | Temp: 2558 | Pressure: 102100 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -331  -1861   -112 | Rates:  -5092    984  15108 | Bat: 65476 | Temp: 2558 | Pressure: 102099 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -264  -1454   -253 | Rates:   5572   -436  12940 | Bat: 65476 | Temp: 2558 | Pressure: 102098 
Mode: 6 | Motors:   0   0   0   0 | Angles:     11   1587    304 | Rates:   5916    -40  13464 | Bat: 65476 | Temp: 2558 | Pressure: 102101 
Mode: 6 | Motors:   0   0   0   0 | Angles:     60    181    190 | Rates:  -3236     28  16152 | Bat: 65476 | Temp: 2558 | Pressure: 102099 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -251    -71   -235 | Rates:   -288    -40  14540 | Bat: 65476 | Temp: 2558 | Pressure: 102101 
Mode: 6 | Motors:   0   0   0   0 | Angles:  -2347    -64   -750 | Rates:    -68  -5856  14940 | Bat: 65476 | Temp: 2558 | Pressure: 102099 
Mode: 6 | Motors:   0   0   0   0 | Angles:   2130    -86    380 | Rates:   1648  -8544  14216 | Bat: 65476 | Temp: 2558 | Pressure: 102101 
Mode: 6 | Motors:   0   0   0   0 | Angles:   1961    617    437 | Rates:  -1024   8732  11308 | Bat: 65476 | Temp: 2558 | Pressure: 102100 
Mode: 6 | Motors:   0   0   0   0 | Angles:  -2265   -192   -684 | Rates:     32   6000  11744 | Bat: 65476 | Temp: 2558 | Pressure: 102100 
Mode: 6 | Motors:   0   0   0   0 | Angles:    418   -171   -172 | Rates:  -1596  -2300  16740 | Bat: 65476 | Temp: 2558 | Pressure: 102097 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -118    -16    649 | Rates:  -2328   1388  15156 | Bat: 65476 | Temp: 2558 | Pressure: 102096 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -315    346   2737 | Rates:   1232    444  15336 | Bat: 65476 | Temp: 2558 | Pressure: 102097 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -299   -169  -2955 | Rates:   1376   -652  15160 | Bat: 65476 | Temp: 2558 | Pressure: 102100 
Mode: 6 | Motors:   0   0   0   0 | Angles:    231   -405  -3829 | Rates:  -4236   -176  16084 | Bat: 65476 | Temp: 2558 | Pressure: 102100 
Mode: 6 | Motors:   0   0   0   0 | Angles:    268     71   1463 | Rates:    512   2680  12932 | Bat: 65476 | Temp: 2558 | Pressure: 102101 
Mode: 6 | Motors:   0   0   0   0 | Angles:    -51    740   2567 | Rates:  -1236    876  15440 | Bat: 65476 | Temp: 2557 | Pressure: 102099 
Mode: 6 | Motors:   0   0   0   0 | Angles:     31   -230   -379 | Rates:   -728    992  14784 | Bat: 65476 | Temp: 2557 | Pressure: 102101 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -173     55   -166 | Rates:  -1400   1232  14988 | Bat: 65476 | Temp: 2557 | Pressure: 102100 
Mode: 6 | Motors:   0   0   0   0 | Angles:     -9     -4    -44 | Rates:  -1156   1972  14336 | Bat: 65476 | Temp: 2557 | Pressure: 102097 
Mode: 6 | Motors:   0   0   0   0 | Angles:    -93    -26    -52 | Rates:  -1044   1676  14668 | Bat: 65476 | Temp: 2557 | Pressure: 102099 
Mode: 6 | Motors:   0   0   0   0 | Angles:   -114    -17    -17 | Rates:  -1192   1696  14548 | Bat: 65476 | Temp: 2556 | Pressure: 102098 
Mode: 6 | Motors:   0   0   0   0 | Angles:    -91    -34    -28 | Rates:   -984   1576  14676 | Bat: 65476 | Temp: 2557 | Pressure: 102099 
